Comment,Designator,Footprint,LCSC
"100uF","C10","CASE-D_7343","C122321"
"10nF","C11,C14,C16","0603","C57112"
"47uF","C6,C13,C17","CASE-B_3528","C147768"
"1uF","C2","0805","C28323"
"4.7uF","C3","0805","C1779"
"20pF","C1,C5","0603","C1648"
"100nF","C7,C19,C20,C21","0603","C14663"
"10uF","C4,C8","0805","C40894"
"2.2uF","C9,C12,C15,C18","0805","C49217"
"Green","D1","0603","C72043"
"Orange","D2","0603","C72038"
"B5819W","D3","SOD-123","C8598"
"RPi Connector","J1","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical","C50982"
"SHOU_HAN_TYPE-C_6P","J2","SMD","C456012"
"2-pin JST PH","J3","Connector_JST:JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal","C47647"
"4-pin JST SH","J4","Connector_JST:JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal","C145956"
"Stepper_Focus","J5","Connector_JST:JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal","C157925"
"Stepper_Azimuth","J6","Connector_JST:JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal","C157925"
"Stepper_Altitude","J7","Connector_JST:JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal","C157925"
"SWD","J8","Connector_JST:JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical","C145956"
"10uH","L1","SMD-PIND-5.2x5.4x2.8_1.2x2.2","C139506"
"1.1k","R1","0603","C22764"
"390k","R10","0603","C23150"
"1","R11,R14","1206","C17928"
"220k","R13","0603","C22961"
"220m","R16,R17,R19,R20","1206","C25336"
"1.5k","R3","0603","C22843"
"5k1","R4,R5","0603","C23186"
"10k","R2,R6,R21","0603","C25804"
"1k","R7,R8","0603","C21190"
"2M","R9,R12","0603","C22976"
"SW_SPDT","SW1","Button_Switch_SMD:SW_SPDT_CK-JS102011SAQN","C221660"
"BQ24074RGT","U1","QFN-16_EP_3.0x3.0x0.5P","C54313"
"STM32F103C8Tx","U2","LQFP-48_7.0x7.0x0.5P","C8734"
"DRV8833RTY","U3,U5,U6","QFN-16_EP_4.0x4.0x0.65P","C154936"
"TPS61030","U4","QFN-16_EP_4.0x4.0x0.65P","C10110"
"16MHz","Y1","SMD-3225_4P","C13738"
